
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 05:17:30 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new1W_R25_M30_N300_seed3_DWcutsCTp4_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 10483 rows, 9750 columns and 138313 nonzeros
Model fingerprint: 0xd71a0a00
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 1e+04]
  Objective range  [6e+01, 9e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 755 rows and 1315 columns
Presolve time: 0.41s
Presolved: 9728 rows, 8435 columns, 121802 nonzeros
Found heuristic solution: objective -9361.000000
Variable types: 0 continuous, 8435 integer (8435 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   21978   -9.3531020e+04   8.240917e+03   0.000000e+00      5s
   24896   -9.3515667e+04   0.000000e+00   0.000000e+00      6s

Root relaxation: objective -9.351567e+04, 24896 iterations, 5.78 seconds (7.53 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -93515.667    0  511 -9361.0000 -93515.667   899%     -    6s
H    0     0                    -88657.00000 -93515.667  5.48%     -    6s
H    0     0                    -90648.00001 -93515.667  3.16%     -    6s
H    0     0                    -90804.00001 -93515.667  2.99%     -    6s
H    0     0                    -90814.00000 -93515.667  2.97%     -    6s
H    0     0                    -90861.00000 -93515.667  2.92%     -    7s
H    0     0                    -92681.00000 -93515.667  0.90%     -    7s
     0     0 -93515.667    0  515 -92681.000 -93515.667  0.90%     -    7s
H    0     0                    -92736.00003 -93515.667  0.84%     -    8s
     0     0 -93515.667    0  505 -92736.000 -93515.667  0.84%     -    8s
     0     0 -93515.667    0  504 -92736.000 -93515.667  0.84%     -    9s
     0     0 -93515.667    0  453 -92736.000 -93515.667  0.84%     -    9s
     0     0 -93515.613    0  554 -92736.000 -93515.613  0.84%     -   10s
     0     0 -93515.571    0  516 -92736.000 -93515.571  0.84%     -   10s
     0     0 -93515.571    0  515 -92736.000 -93515.571  0.84%     -   10s
     0     0 -93515.571    0  538 -92736.000 -93515.571  0.84%     -   11s
     0     0 -93515.571    0  529 -92736.000 -93515.571  0.84%     -   11s
     0     0 -93515.567    0  546 -92736.000 -93515.567  0.84%     -   11s
     0     0 -93515.567    0  544 -92736.000 -93515.567  0.84%     -   11s
     0     0 -93515.422    0  511 -92736.000 -93515.422  0.84%     -   11s
     0     0 -93515.422    0  511 -92736.000 -93515.422  0.84%     -   17s
H    0     0                    -92847.00000 -93515.422  0.72%     -   18s
H    0     0                    -92971.00000 -93515.422  0.59%     -   20s
     0     2 -93515.422    0  511 -92971.000 -93515.422  0.59%     -   20s
     1     4 -93514.705    1  597 -92971.000 -93515.260  0.59%  1156   27s
     3     8 -93513.299    2  617 -92971.000 -93514.705  0.58%  1295   32s
    15    20 -93513.109    5  651 -92971.000 -93513.208  0.58%   673   35s
H   30    35                    -93097.00000 -93513.208  0.45%   472   40s
    54    72 -93500.861   16  686 -93097.000 -93513.208  0.45%   417   46s
H   70    72                    -93100.00000 -93513.208  0.44%   401   46s
    96   119 -93494.834   30  600 -93100.000 -93513.208  0.44%   404   54s
H  117   119                    -93102.00000 -93513.208  0.44%   389   54s
   118   152 -93487.758   34  431 -93102.000 -93513.208  0.44%   397   57s
   153   170 -93486.612   48  452 -93102.000 -93513.208  0.44%   388   63s
   174   230 -93486.594   49  451 -93102.000 -93513.208  0.44%   390   67s
   235   274 -93455.907   66  647 -93102.000 -93513.208  0.44%   368   70s
   325   377 -93398.523   95  472 -93102.000 -93513.208  0.44%   359   76s
   449   529 -93373.297  119  570 -93102.000 -93513.208  0.44%   324   83s
   546   597 -93364.577  136  526 -93102.000 -93513.208  0.44%   304   86s
   682   674 -93316.620  168  421 -93102.000 -93513.208  0.44%   309   94s
H  692   672                    -93109.00000 -93513.208  0.43%   306   94s
   695   780 -93316.544  170  382 -93109.000 -93513.208  0.43%   305   98s
   810   895 -93281.853  191  355 -93109.000 -93513.208  0.43%   292  101s
  1027  1024 -93487.650    7  489 -93109.000 -93513.194  0.43%   272  108s
  1104  1087 -93427.201   14  574 -93109.000 -93513.194  0.43%   274  111s
  1261  1290 -93389.098   27  439 -93109.000 -93513.194  0.43%   284  118s
  1407  1291 -93488.214   24  511 -93109.000 -93513.194  0.43%   275  127s
  1409  1292 -93469.483   40  490 -93109.000 -93513.194  0.43%   275  134s
  1410  1293 -93267.665  135  539 -93109.000 -93513.194  0.43%   274  136s
  1421  1300 -93154.496  210  598 -93109.000 -93513.181  0.43%   272  144s
  1422  1304 -93513.181   15  601 -93109.000 -93513.181  0.43%   296  164s
  1424  1307 -93511.652   16  667 -93109.000 -93513.181  0.43%   297  173s
