
Gurobi 9.5.0 (linux64) logging started Tue Mar 29 17:50:58 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/MKAP_20_100_10_3_original.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 320 rows, 2200 columns and 4400 nonzeros
Model fingerprint: 0xe5792e13
Variable types: 0 continuous, 2200 integer (2200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [9e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 0.0000000
Presolve removed 20 rows and 20 columns
Presolve time: 0.02s
Presolved: 300 rows, 2180 columns, 4360 nonzeros
Variable types: 0 continuous, 2180 integer (2180 binary)
Found heuristic solution: objective -24427.00000

Root relaxation: objective -4.262829e+04, 1411 iterations, 0.02 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -42628.287    0   60 -24427.000 -42628.287  74.5%     -    0s
H    0     0                    -35559.00000 -42628.287  19.9%     -    0s
H    0     0                    -39149.00000 -42628.287  8.89%     -    0s
H    0     0                    -39511.00000 -42628.287  7.89%     -    0s
     0     0 -42623.982    0   85 -39511.000 -42623.982  7.88%     -    0s
H    0     0                    -39796.00000 -42623.754  7.11%     -    0s
     0     0 -42623.714    0   93 -39796.000 -42623.714  7.11%     -    0s
     0     0 -42623.714    0   93 -39796.000 -42623.714  7.11%     -    0s
     0     0 -42623.714    0   95 -39796.000 -42623.714  7.11%     -    0s
H    0     0                    -39963.00000 -42619.198  6.65%     -    0s
     0     0 -42619.198    0  127 -39963.000 -42619.198  6.65%     -    0s
     0     0 -42618.707    0  117 -39963.000 -42618.707  6.65%     -    0s
     0     0 -42618.590    0  137 -39963.000 -42618.590  6.65%     -    0s
     0     0 -42618.496    0  143 -39963.000 -42618.496  6.64%     -    0s
     0     0 -42618.496    0  144 -39963.000 -42618.496  6.64%     -    0s
H    0     0                    -40017.00000 -42613.557  6.49%     -    0s
     0     0 -42613.557    0  143 -40017.000 -42613.557  6.49%     -    0s
     0     0 -42612.910    0  152 -40017.000 -42612.910  6.49%     -    0s
H    0     0                    -40034.00000 -42611.310  6.44%     -    0s
     0     0 -42611.310    0  128 -40034.000 -42611.310  6.44%     -    0s
     0     0 -42610.937    0  129 -40034.000 -42610.937  6.44%     -    0s
     0     0 -42610.912    0  131 -40034.000 -42610.912  6.44%     -    0s
     0     0 -42607.357    0  143 -40034.000 -42607.357  6.43%     -    0s
H    0     0                    -40082.00000 -42607.357  6.30%     -    0s
     0     0 -42606.147    0  142 -40082.000 -42606.147  6.30%     -    0s
     0     0 -42604.974    0  152 -40082.000 -42604.974  6.29%     -    0s
     0     0 -42604.929    0  165 -40082.000 -42604.929  6.29%     -    0s
     0     0 -42604.926    0  165 -40082.000 -42604.926  6.29%     -    0s
     0     0 -42601.426    0  171 -40082.000 -42601.426  6.29%     -    0s
H    0     0                    -40876.00000 -42601.426  4.22%     -    0s
     0     0 -42600.945    0  180 -40876.000 -42600.945  4.22%     -    0s
     0     0 -42600.916    0  177 -40876.000 -42600.916  4.22%     -    0s
H    0     0                    -41229.00000 -42598.542  3.32%     -    0s
     0     0 -42598.542    0  204 -41229.000 -42598.542  3.32%     -    0s
     0     0 -42598.175    0  194 -41229.000 -42598.175  3.32%     -    0s
     0     0 -42598.079    0  212 -41229.000 -42598.079  3.32%     -    0s
     0     0 -42598.077    0  216 -41229.000 -42598.077  3.32%     -    0s
     0     0 -42593.710    0  202 -41229.000 -42593.710  3.31%     -    0s
     0     0 -42592.855    0  206 -41229.000 -42592.855  3.31%     -    0s
     0     0 -42592.597    0  219 -41229.000 -42592.597  3.31%     -    0s
     0     0 -42592.275    0  226 -41229.000 -42592.275  3.31%     -    0s
     0     0 -42592.259    0  235 -41229.000 -42592.259  3.31%     -    0s
     0     0 -42588.767    0  204 -41229.000 -42588.767  3.30%     -    0s
     0     0 -42587.405    0  209 -41229.000 -42587.405  3.29%     -    0s
     0     0 -42587.110    0  232 -41229.000 -42587.110  3.29%     -    0s
     0     0 -42587.053    0  234 -41229.000 -42587.053  3.29%     -    0s
     0     0 -42584.823    0  213 -41229.000 -42584.823  3.29%     -    0s
     0     0 -42583.307    0  220 -41229.000 -42583.307  3.28%     -    0s
     0     0 -42582.988    0  216 -41229.000 -42582.988  3.28%     -    0s
     0     0 -42582.657    0  269 -41229.000 -42582.657  3.28%     -    0s
     0     0 -42582.409    0  258 -41229.000 -42582.409  3.28%     -    0s
     0     0 -42582.361    0  253 -41229.000 -42582.361  3.28%     -    0s
     0     0 -42579.066    0  244 -41229.000 -42579.066  3.27%     -    0s
H    0     0                    -41335.00000 -42579.066  3.01%     -    0s
     0     0 -42578.223    0  277 -41335.000 -42578.223  3.01%     -    1s
     0     0 -42577.895    0  272 -41335.000 -42577.895  3.01%     -    1s
     0     0 -42577.502    0  266 -41335.000 -42577.502  3.01%     -    1s
