
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 06:16:01 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M30_N300_seed7_DWcutsCT5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 21210 rows, 9750 columns and 274539 nonzeros
Model fingerprint: 0x86a47ed5
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+04]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-16, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 2991 rows and 756 columns
Presolve time: 0.82s
Presolved: 18219 rows, 8994 columns, 228403 nonzeros
Variable types: 0 continuous, 8994 integer (8994 binary)
Found heuristic solution: objective -7567.000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   15563   -9.2624608e+04   5.764862e+04   0.000000e+00      5s
   19204   -9.2558236e+04   0.000000e+00   0.000000e+00      7s

Root relaxation: objective -9.255824e+04, 19204 iterations, 6.30 seconds (10.59 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -92558.236    0  587 -7567.0000 -92558.236  1123%     -    7s
H    0     0                    -88365.00000 -92558.236  4.75%     -    7s
H    0     0                    -90727.00000 -92558.236  2.02%     -    7s
H    0     0                    -91513.00000 -92558.236  1.14%     -    8s
     0     0 -92558.235    0  608 -91513.000 -92558.235  1.14%     -    9s
H    0     0                    -92028.00000 -92558.235  0.58%     -   14s
     0     0 -92558.235    0  608 -92028.000 -92558.235  0.58%     -   14s
H    0     0                    -92147.00000 -92558.235  0.45%     -   15s
H    0     0                    -92198.00000 -92558.235  0.39%     -   15s
     0     0 -92558.227    0  605 -92198.000 -92558.227  0.39%     -   16s
H    0     0                    -92252.00000 -92558.227  0.33%     -   19s
     0     2 -92558.227    0  603 -92252.000 -92558.227  0.33%     -   19s
     1     4 -92556.905    1  594 -92252.000 -92558.227  0.33%   649   20s
    23    28 -92547.729    6  652 -92252.000 -92557.091  0.33%  1033   25s
H   27    32                    -92277.00000 -92557.091  0.30%   985   26s
    35    50 -92544.627    9  562 -92277.000 -92557.091  0.30%   920   31s
    68    82 -92515.034   16  368 -92277.000 -92557.091  0.30%   969   37s
    81   140 -92514.651   17  335 -92277.000 -92557.091  0.30%   908   40s
   183   184 -92554.329    4  633 -92277.000 -92556.227  0.30%   551   46s
   254   215 -92538.531    8  561 -92277.000 -92556.227  0.30%   505   51s
   280   262 -92527.501   12  559 -92277.000 -92556.227  0.30%   535   61s
H  316   271                    -92291.00000 -92556.227  0.29%   511   64s
   338   317 -92515.739   15  361 -92291.000 -92556.227  0.29%   504   70s
   464   416 -92550.138    4  641 -92291.000 -92555.591  0.29%   453   77s
   538   447 -92547.183    6  674 -92291.000 -92555.591  0.29%   438   85s
   639   524 -92528.349   11  307 -92291.000 -92555.591  0.29%   443   94s
   677   571 -92523.644   15  430 -92291.000 -92555.591  0.29%   467  100s
   754   614 -92496.222   18  391 -92291.000 -92555.591  0.29%   460  108s
   811   693 -92444.871   23  367 -92291.000 -92553.141  0.28%   472  113s
   920   757 -92545.922    6  590 -92291.000 -92553.141  0.28%   465  120s
  1019   866 -92518.346   17  469 -92291.000 -92552.606  0.28%   462  127s
  1166   867 -92378.973   35  605 -92291.000 -92552.606  0.28%   450  140s
  1168   868 -92323.523   35  585 -92291.000 -92552.606  0.28%   449  149s
  1169   869 -92519.483   13  611 -92291.000 -92552.606  0.28%   449  155s
  1172   871 -92517.626   17  612 -92291.000 -92552.606  0.28%   448  164s
  1173   872 -92498.706   23  609 -92291.000 -92552.606  0.28%   447  165s
  1174   872 -92424.861   29  609 -92291.000 -92552.597  0.28%   447  191s
  1175   876 -92552.597   11  586 -92291.000 -92552.597  0.28%   466  220s
  1177   877 -92552.597   12  673 -92291.000 -92552.597  0.28%   467  239s
  1181   880 -92552.597   13  703 -92291.000 -92552.597  0.28%   467  245s
  1189   883 -92550.556   14  695 -92291.000 -92552.597  0.28%   470  251s
  1202   894 -92552.597   16  699 -92291.000 -92552.597  0.28%   472  257s
  1208   896 -92552.597   17  612 -92291.000 -92552.597  0.28%   472  260s
  1212   902 -92552.597   17  550 -92291.000 -92552.597  0.28%   475  266s
  1236   948 -92552.597   20  596 -92291.000 -92552.597  0.28%   482  278s
  1274   977 -92550.988   24  660 -92291.000 -92552.597  0.28%   494  287s
  1320  1025 -92542.450   28  549 -92291.000 -92552.597  0.28%   505  299s
  1385  1073 -92535.660   34  522 -92291.000 -92552.597  0.28%   523  309s
  1461  1131 -92532.195   41  533 -92291.000 -92552.597  0.28%   528  320s
  1549  1215 -92519.572   49  323 -92291.000 -92552.597  0.28%   536  329s
  1722  1250 -92495.928   68   81 -92291.000 -92552.597  0.28%   522  337s
